genre,total_count,year,danceability,energy,instrumentalness,speechiness,tempo,valence
europop,61,1975,0.570836065573771,0.664524590163934,0.0209944095081967,0.0500131147540984,117.011819672131,0.690606557377049
europop,113,1976,0.645035398230089,0.741743362831858,0.0713228469911504,0.0528353982300885,118.108469026549,0.750300884955752
europop,70,1977,0.638257142857143,0.609657142857143,0.0279707847142857,0.0420057142857143,120.2327,0.722485714285714
europop,87,1978,0.596689655172414,0.685574712643678,0.0321960708045977,0.053832183908046,121.706298850575,0.668011494252874
europop,120,1979,0.684708333333333,0.679725,0.0461095140833333,0.054365,120.320075,0.709749166666667
europop,125,1980,0.616656,0.695408,0.01493805176,0.0584568,126.835872,0.703176
europop,206,1981,0.624694174757282,0.688412621359224,0.0734912476213593,0.0529699029126214,122.16332038835,0.704445145631068
europop,138,1982,0.673021739130434,0.706521739130435,0.0217492786231884,0.0594,120.638775362319,0.700753623188406
europop,309,1983,0.657362459546926,0.651605177993527,0.0388896439805825,0.0511919093851132,120.041388349515,0.66604854368932
europop,344,1984,0.657415697674419,0.66496511627907,0.0180792636046512,0.0466261627906977,125.524593023256,0.716066860465117
europop,341,1985,0.647035190615836,0.695929618768329,0.0311839324633431,0.0438140762463343,123.740029325513,0.672568914956012
europop,395,1986,0.656412658227848,0.671989873417722,0.0337473429367088,0.0412653164556962,120.46533164557,0.691606329113924
europop,366,1987,0.652306010928962,0.708355191256831,0.0576911585245902,0.0439677595628415,119.441677595628,0.685684699453552
europop,413,1988,0.642772397094431,0.731561743341404,0.0932694143583536,0.0413535108958838,118.448866828087,0.679436803874092
europop,486,1989,0.648135802469135,0.687127572016462,0.0920616700617284,0.0466170781893005,122.420849794239,0.703497942386832
europop,421,1990,0.628475059382423,0.726719714964371,0.123588259619952,0.046547268408551,120.377826603325,0.658450831353919
europop,558,1991,0.642116487455197,0.700713261648745,0.0979408054659498,0.0449365591397849,119.65264516129,0.650566487455197
europop,567,1992,0.631654320987655,0.713871252204586,0.0929461551146384,0.045305114638448,118.882153439153,0.626822574955909
europop,660,1993,0.633278787878788,0.721486363636363,0.106438342,0.0445798484848485,122.204321212121,0.645146363636363
europop,668,1994,0.64748502994012,0.727303892215568,0.0927822433982036,0.0463895209580838,124.81030239521,0.646079790419161
europop,879,1995,0.645951080773607,0.762317406143344,0.102839109488055,0.0481279863481229,127.638634812286,0.618443572241183
europop,880,1996,0.640373863636363,0.753804545454546,0.109685101659091,0.0475430681818182,128.6993,0.612616477272728
europop,837,1997,0.631425328554361,0.76378375149343,0.106708372389486,0.0519627240143369,124.973200716846,0.627938948626046
europop,1176,1998,0.648089285714286,0.773554421768708,0.117206702023809,0.0503057823129251,124.066082482993,0.637546003401361
europop,1306,1999,0.638591883614088,0.778591117917305,0.101071604655436,0.0492775650842266,123.718477029096,0.616060872894333
europop,1341,2000,0.634334824757644,0.765260999254289,0.0777118784116332,0.0493906040268456,124.047476510067,0.62756211782252
europop,1064,2001,0.647898496240602,0.776868421052632,0.0780515948026315,0.0553761278195489,120.095356203008,0.638940695488722
europop,1306,2002,0.607678407350689,0.797474885145482,0.104494389364472,0.0495778713629403,126.417980091884,0.570222817764166
europop,1324,2003,0.632101208459215,0.762953927492448,0.0736671525453173,0.0558590634441088,121.301658610272,0.612280589123867
europop,1118,2004,0.620052772808587,0.773305008944546,0.0643909881395348,0.0584575134168158,123.923995527728,0.589814937388193
europop,1773,2005,0.628892272983644,0.767947546531304,0.0694500639875917,0.0539206993795827,123.398561759729,0.606625662718556
europop,1594,2006,0.627978042659976,0.768893350062736,0.0696331458657466,0.0541702007528231,125.716885194479,0.596049623588457
europop,1896,2007,0.621359704641352,0.791887658227849,0.120674353818565,0.0546621308016877,126.601505274262,0.589822995780589
europop,1953,2008,0.636556579621096,0.783447516641067,0.0920052499948796,0.0600393753200203,126.599619559652,0.584640501792113
europop,2331,2009,0.645185328185327,0.801405405405405,0.119293677743458,0.0582319176319177,127.54950965251,0.581653238953238
europop,2328,2010,0.636918384879726,0.805061426116838,0.108860167607388,0.0619943298969073,128.655110824742,0.573135008591064
europop,2207,2011,0.630680108744902,0.776079746261893,0.0832272459945627,0.0620872677843226,126.561142274581,0.570316492976891
europop,2089,2012,0.638397319291527,0.772007180469125,0.110695114006702,0.06597721397798,128.255383915749,0.566847438966013
europop,2681,2013,0.617897426333456,0.811896680343156,0.132349288258113,0.06747720999627,130.735933233868,0.538458672137262
europop,1856,2014,0.633370150862068,0.770785560344828,0.0767359289385775,0.0592368534482758,126.247733297414,0.558849299568967
europop,2677,2015,0.625806873365708,0.752653716847216,0.0685496721479268,0.0613802390735898,125.518374299589,0.558266081434443
europop,2360,2016,0.628324152542372,0.75957245762712,0.0769327938601696,0.0574867372881355,124.997725423729,0.551822881355931
europop,1899,2017,0.632224855186941,0.791076882569769,0.0807388877988416,0.0667038441284886,126.674646129542,0.565555450236968
experimental,41,1960,0.514121951219512,0.283631707317073,0.14893382804878,0.0603170731707317,110.804414634146,0.456951219512195
experimental,48,1961,0.441520833333333,0.326745833333333,0.190518217708333,0.0533354166666667,110.547020833333,0.43951875
experimental,8,1962,0.454625,0.5015,0.342156,0.100675,93.7585,0.3584875
experimental,38,1963,0.5125,0.319486842105263,0.154038692631579,0.118357894736842,118.629421052632,0.539026315789474
experimental,50,1964,0.550654,0.285934406,0.0410480692,0.10395,114.13522,0.524782
experimental,92,1965,0.497184782608696,0.534719565217391,0.240356796956522,0.0762923913043478,119.34297826087,0.591844565217391
experimental,143,1966,0.480377622377623,0.51067062937063,0.160065968531469,0.0823972027972028,113.70213986014,0.501721678321678
